                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2504,                 1.9975,                 1.4296,                0.82272,                0.76847,                0.82492,                0.52703,                 1.1315,                 1.2883,                 1.3093,              0.0033297,              0.0033297,              0.0033297
                      2,                 1.2523,                 1.3304,                 1.4012,                0.78979,                0.74282,                0.79995,                0.47443,                 1.2799,                 1.0882,                 1.4242,              0.0065971,              0.0065971,              0.0065971
                      3,                 1.3731,                 1.3694,                 1.4979,                0.68932,                0.56434,                 0.6219,                0.35304,                 1.5033,                 1.5069,                 1.6489,              0.0097984,              0.0097984,              0.0097984
                      4,                 1.4687,                 1.4646,                 1.5743,                0.74855,                0.65288,                0.72881,                0.42778,                 1.3856,                 1.2423,                  1.554,               0.009703,               0.009703,               0.009703
                      5,                 1.4028,                 1.3234,                 1.5297,                0.76787,                0.71367,                0.77533,                0.45855,                 1.3164,                 1.0314,                 1.5084,               0.009604,               0.009604,               0.009604
                      6,                 1.3612,                 1.2348,                 1.5019,                0.82598,                0.69867,                0.78852,                0.48611,                 1.2822,                0.98355,                  1.447,               0.009505,               0.009505,               0.009505
                      7,                 1.3193,                 1.1579,                 1.4788,                0.75958,                0.71736,                0.77562,                 0.4853,                 1.2569,                0.97762,                 1.4574,               0.009406,               0.009406,               0.009406
                      8,                 1.2804,                 1.0788,                 1.4426,                0.81666,                0.77243,                0.82619,                0.52763,                 1.2182,                0.85556,                 1.4069,               0.009307,               0.009307,               0.009307
                      9,                 1.2553,                  1.037,                 1.4321,                0.82878,                0.75578,                0.82459,                0.53312,                 1.1976,                0.83903,                 1.4077,               0.009208,               0.009208,               0.009208
                     10,                 1.2323,                 0.9998,                 1.4127,                 0.8613,                0.78697,                0.86167,                0.56584,                 1.1454,                0.75508,                 1.3626,               0.009109,               0.009109,               0.009109
                     11,                 1.2128,                0.96417,                 1.3946,                0.86182,                0.79353,                0.86922,                0.57552,                 1.1285,                0.71695,                 1.3381,                0.00901,                0.00901,                0.00901
                     12,                 1.1909,                0.93068,                 1.3841,                0.86485,                0.81082,                0.87289,                0.58917,                 1.0902,                0.70249,                 1.3153,               0.008911,               0.008911,               0.008911
                     13,                 1.1715,                0.91205,                 1.3694,                0.84623,                0.83003,                0.88111,                0.59676,                 1.0802,                0.67548,                 1.2919,               0.008812,               0.008812,               0.008812
                     14,                  1.147,                0.88692,                 1.3576,                 0.8599,                0.83371,                0.88455,                0.59693,                  1.089,                0.67571,                 1.3151,               0.008713,               0.008713,               0.008713
                     15,                 1.1386,                0.85869,                 1.3395,                0.88107,                0.82859,                0.89044,                0.60371,                 1.0833,                0.66066,                 1.2983,               0.008614,               0.008614,               0.008614
                     16,                 1.1255,                0.83816,                 1.3346,                0.87598,                0.83995,                0.89849,                0.61331,                 1.0667,                0.64827,                  1.302,               0.008515,               0.008515,               0.008515
                     17,                 1.1108,                0.82729,                 1.3235,                0.87378,                0.84579,                0.89689,                0.61657,                  1.051,                0.62599,                 1.2801,               0.008416,               0.008416,               0.008416
                     18,                 1.1024,                0.80758,                 1.3224,                0.88515,                0.85171,                0.90686,                0.62364,                 1.0358,                0.60826,                 1.2741,               0.008317,               0.008317,               0.008317
                     19,                 1.0836,                0.78844,                  1.306,                0.87088,                0.84615,                0.89964,                0.62574,                 1.0312,                0.60465,                 1.2771,               0.008218,               0.008218,               0.008218
                     20,                 1.0725,                0.77488,                 1.3007,                0.89096,                0.86018,                0.90223,                 0.6321,                 1.0171,                0.57656,                 1.2626,               0.008119,               0.008119,               0.008119
                     21,                 1.0575,                0.75633,                 1.2886,                0.88163,                0.84959,                0.90613,                0.63691,                 1.0136,                0.58052,                 1.2626,                0.00802,                0.00802,                0.00802
                     22,                 1.0495,                 0.7505,                 1.2864,                0.87655,                0.86893,                0.90855,                0.63528,                 1.0069,                0.57415,                 1.2621,               0.007921,               0.007921,               0.007921
                     23,                 1.0424,                0.73586,                 1.2771,                0.89123,                0.85869,                0.90968,                0.64121,                 1.0042,                0.57481,                 1.2491,               0.007822,               0.007822,               0.007822
