                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1673,                 1.9254,                 1.3944,                0.82828,                0.76125,                0.82973,                0.53453,                 1.1251,                 1.2522,                  1.299,              0.0033299,              0.0033299,              0.0033299
                      2,                 1.1734,                 1.2651,                 1.3673,                0.79188,                0.69818,                0.78374,                0.47114,                 1.2679,                 1.0979,                 1.4124,              0.0065973,              0.0065973,              0.0065973
                      3,                 1.2886,                 1.3201,                 1.4622,                 0.7113,                0.60879,                0.66175,                0.37627,                 1.4701,                 1.3425,                  1.651,              0.0097986,              0.0097986,              0.0097986
                      4,                 1.3759,                 1.4167,                 1.5417,                0.73645,                0.64869,                0.71013,                0.40763,                 1.4219,                 1.2229,                 1.5896,               0.009703,               0.009703,               0.009703
                      5,                 1.3161,                 1.2739,                 1.4998,                0.78521,                0.68019,                0.77177,                0.46206,                 1.2988,                 1.0557,                 1.4584,               0.009604,               0.009604,               0.009604
                      6,                 1.2736,                 1.1826,                 1.4643,                0.81493,                0.74264,                 0.8117,                0.50822,                 1.2237,                0.91626,                 1.4317,               0.009505,               0.009505,               0.009505
                      7,                 1.2374,                 1.1112,                 1.4416,                0.82553,                0.75231,                0.82876,                0.53711,                 1.1812,                0.83652,                 1.3729,               0.009406,               0.009406,               0.009406
                      8,                 1.2044,                 1.0327,                 1.4064,                0.85588,                0.75173,                0.83745,                0.54543,                 1.1654,                0.81186,                  1.381,               0.009307,               0.009307,               0.009307
                      9,                 1.1685,                0.98125,                 1.3873,                0.84233,                0.80241,                0.85711,                0.56891,                  1.117,                0.76475,                 1.3439,               0.009208,               0.009208,               0.009208
                     10,                 1.1546,                0.95421,                 1.3712,                0.85586,                0.80642,                0.87255,                0.58145,                 1.1161,                0.71723,                 1.3284,               0.009109,               0.009109,               0.009109
                     11,                 1.1386,                0.92977,                 1.3629,                0.87051,                0.80276,                0.87572,                0.59077,                  1.082,                0.70949,                  1.308,                0.00901,                0.00901,                0.00901
                     12,                 1.1115,                0.88833,                  1.345,                0.87553,                0.80522,                0.88002,                0.60115,                 1.0568,                0.67765,                 1.2874,               0.008911,               0.008911,               0.008911
                     13,                 1.0936,                0.87402,                 1.3378,                0.88749,                0.82244,                0.88552,                0.60654,                 1.0552,                0.65747,                 1.2953,               0.008812,               0.008812,               0.008812
                     14,                 1.0784,                0.84099,                 1.3198,                0.87162,                0.83524,                0.88503,                0.60457,                 1.0683,                0.64574,                 1.2947,               0.008713,               0.008713,               0.008713
                     15,                 1.0632,                0.82146,                 1.3094,                 0.8841,                0.83351,                 0.8969,                0.62386,                 1.0245,                0.61808,                 1.2717,               0.008614,               0.008614,               0.008614
                     16,                 1.0501,                 0.8009,                 1.2951,                0.86827,                0.83885,                0.88868,                0.61734,                 1.0156,                0.62706,                 1.2651,               0.008515,               0.008515,               0.008515
                     17,                 1.0372,                0.78237,                 1.2836,                0.88028,                0.84753,                0.90259,                0.63028,                 1.0209,                0.59451,                 1.2719,               0.008416,               0.008416,               0.008416
                     18,                 1.0297,                0.76875,                 1.2868,                0.89848,                0.84145,                0.90209,                0.63118,                 1.0117,                0.59249,                  1.266,               0.008317,               0.008317,               0.008317
                     19,                 1.0139,                0.74641,                  1.276,                0.89039,                 0.8651,                0.91434,                0.64802,                0.98372,                0.56792,                 1.2522,               0.008218,               0.008218,               0.008218
                     20,                 1.0064,                0.73549,                 1.2676,                0.89363,                0.85388,                0.90943,                0.64185,                 0.9846,                0.56791,                 1.2502,               0.008119,               0.008119,               0.008119
                     21,                0.99363,                0.72346,                 1.2608,                0.89083,                0.85742,                0.90849,                0.64287,                0.99017,                0.55741,                 1.2568,                0.00802,                0.00802,                0.00802
                     22,                 0.9822,                0.70912,                 1.2517,                0.90246,                0.86751,                0.91739,                0.64808,                0.98602,                0.53982,                 1.2398,               0.007921,               0.007921,               0.007921
                     23,                0.97181,                 0.7002,                 1.2394,                0.89957,                0.86803,                0.91735,                0.65855,                0.96644,                0.53987,                 1.2355,               0.007822,               0.007822,               0.007822
                     24,                0.96631,                0.68997,                 1.2373,                0.89094,                0.87412,                0.91909,                0.65989,                 0.9602,                 0.5307,                 1.2281,               0.007723,               0.007723,               0.007723
                     25,                0.95557,                0.67698,                 1.2267,                 0.9028,                0.87604,                0.92322,                0.66452,                 0.9548,                0.50896,                 1.2265,               0.007624,               0.007624,               0.007624
                     26,                0.94851,                0.67276,                 1.2263,                0.89337,                0.87736,                0.91971,                0.66659,                0.95156,                0.50983,                 1.2249,               0.007525,               0.007525,               0.007525
                     27,                0.93764,                0.66007,                 1.2188,                0.89692,                0.88202,                0.92164,                 0.6672,                0.95336,                0.50656,                  1.227,               0.007426,               0.007426,               0.007426
                     28,                0.92661,                0.64663,                 1.2073,                0.89015,                0.87661,                0.91879,                0.66594,                0.95129,                0.51002,                  1.219,               0.007327,               0.007327,               0.007327
                     29,                0.92143,                0.64298,                 1.2037,                0.89851,                0.88152,                0.92372,                0.66868,                0.95601,                0.50216,                 1.2221,               0.007228,               0.007228,               0.007228
                     30,                 0.9113,                0.63306,                 1.2001,                0.89926,                 0.8778,                0.92004,                0.66913,                0.94466,                0.50144,                 1.2273,               0.007129,               0.007129,               0.007129
                     31,                 0.9091,                0.62519,                 1.1986,                 0.9068,                0.87899,                0.92642,                0.67376,                0.94161,                0.48868,                 1.2253,                0.00703,                0.00703,                0.00703
                     32,                0.90543,                0.62402,                 1.1952,                0.89835,                0.88879,                0.92586,                0.67654,                0.93822,                0.48962,                  1.212,               0.006931,               0.006931,               0.006931
                     33,                0.88874,                0.60954,                 1.1823,                0.89433,                0.87804,                0.92238,                0.66962,                0.94541,                0.49047,                 1.2181,               0.006832,               0.006832,               0.006832
                     34,                 0.8843,                0.60855,                 1.1834,                0.90355,                0.88375,                0.92373,                0.67747,                0.93157,                0.47751,                 1.2185,               0.006733,               0.006733,               0.006733
                     35,                0.87335,                0.59922,                 1.1766,                0.90577,                 0.8865,                0.92832,                0.68056,                0.93344,                0.47748,                 1.2198,               0.006634,               0.006634,               0.006634
                     36,                0.86051,                0.58784,                 1.1707,                0.89936,                0.88942,                0.92481,                0.67863,                 0.9303,                0.47646,                 1.2196,               0.006535,               0.006535,               0.006535
                     37,                0.86745,                 0.5853,                 1.1642,                0.90846,                0.88874,                0.92571,                0.68104,                 0.9304,                0.46913,                 1.2111,               0.006436,               0.006436,               0.006436
                     38,                0.85207,                0.58393,                 1.1592,                0.90332,                0.88592,                0.92628,                 0.6839,                0.91784,                 0.4724,                 1.2027,               0.006337,               0.006337,               0.006337
                     39,                0.84898,                0.57062,                 1.1556,                 0.9071,                0.88721,                0.92981,                0.68598,                0.91884,                0.46972,                 1.2001,               0.006238,               0.006238,               0.006238
                     40,                0.83998,                0.56857,                 1.1571,                0.89652,                 0.8969,                0.92835,                0.68588,                0.91783,                0.46865,                   1.21,               0.006139,               0.006139,               0.006139
                     41,                0.83632,                 0.5668,                 1.1556,                0.90231,                0.89941,                0.93096,                0.68594,                0.91908,                0.46367,                 1.2167,                0.00604,                0.00604,                0.00604
                     42,                0.83041,                0.55289,                 1.1454,                0.90691,                0.88958,                0.92926,                0.68641,                 0.9234,                0.46371,                 1.2148,               0.005941,               0.005941,               0.005941
                     43,                0.82159,                 0.5496,                 1.1416,                0.89473,                0.89385,                0.92936,                0.68833,                0.91911,                0.46522,                 1.2128,               0.005842,               0.005842,               0.005842
                     44,                0.81693,                0.54512,                 1.1392,                0.90196,                0.89499,                0.93041,                0.68884,                0.91795,                0.46364,                 1.2141,               0.005743,               0.005743,               0.005743
                     45,                0.81359,                0.54293,                 1.1318,                0.90657,                0.88841,                0.92841,                0.68717,                 0.9204,                0.46551,                 1.2161,               0.005644,               0.005644,               0.005644
                     46,                 0.8052,                0.53712,                 1.1305,                0.91093,                0.89342,                0.92968,                 0.6884,                0.91509,                 0.4623,                 1.2147,               0.005545,               0.005545,               0.005545
                     47,                0.80181,                 0.5265,                 1.1262,                0.91039,                0.89459,                0.93039,                0.69093,                 0.9122,                0.46212,                 1.2147,               0.005446,               0.005446,               0.005446
                     48,                0.79196,                0.52162,                 1.1136,                0.90905,                0.89417,                0.92749,                0.68978,                0.91283,                0.46405,                 1.2125,               0.005347,               0.005347,               0.005347
                     49,                 0.7875,                0.51525,                 1.1163,                  0.909,                0.89563,                 0.9267,                0.68889,                0.91066,                0.45969,                 1.2089,               0.005248,               0.005248,               0.005248
                     50,                0.77999,                0.51244,                 1.1139,                0.90881,                0.89689,                0.92824,                0.69021,                0.90806,                0.45939,                 1.2103,               0.005149,               0.005149,               0.005149
                     51,                0.77163,                 0.5067,                 1.1064,                0.90899,                0.89337,                0.92797,                0.69207,                 0.9058,                0.45754,                 1.2101,                0.00505,                0.00505,                0.00505
                     52,                0.76831,                0.50658,                 1.1024,                0.91274,                0.89239,                 0.9286,                0.69321,                0.90722,                0.45376,                 1.2124,               0.004951,               0.004951,               0.004951
                     53,                0.76108,                0.49574,                  1.101,                0.91301,                0.88835,                0.92904,                 0.6923,                0.90859,                0.45218,                 1.2156,               0.004852,               0.004852,               0.004852
                     54,                0.75963,                0.49414,                 1.0977,                 0.9138,                0.89328,                0.93104,                0.69421,                0.90955,                0.44736,                 1.2195,               0.004753,               0.004753,               0.004753
                     55,                0.75055,                0.48702,                 1.0929,                0.91433,                0.89618,                0.93145,                0.69477,                0.90915,                0.44495,                 1.2203,               0.004654,               0.004654,               0.004654
                     56,                0.74305,                0.48536,                 1.0902,                0.91597,                0.89501,                0.93387,                 0.6954,                0.91023,                0.44392,                 1.2212,               0.004555,               0.004555,               0.004555
                     57,                 0.7384,                0.47447,                 1.0846,                0.91579,                0.89493,                0.93196,                 0.6946,                0.91087,                0.44388,                 1.2219,               0.004456,               0.004456,               0.004456
                     58,                0.73933,                0.47937,                 1.0839,                0.91422,                0.89703,                0.93246,                0.69544,                0.90965,                0.44382,                 1.2214,               0.004357,               0.004357,               0.004357
                     59,                0.72676,                0.46948,                 1.0814,                0.91657,                0.89331,                0.93144,                0.69628,                0.90673,                0.44235,                 1.2204,               0.004258,               0.004258,               0.004258
                     60,                0.72203,                0.46612,                  1.074,                 0.9171,                0.89127,                0.93077,                0.69748,                0.90626,                0.43995,                 1.2193,               0.004159,               0.004159,               0.004159
                     61,                0.71612,                0.46506,                 1.0699,                0.91961,                0.89163,                0.93177,                0.69759,                0.90725,                0.43967,                 1.2206,                0.00406,                0.00406,                0.00406
                     62,                0.70562,                0.45699,                 1.0651,                 0.9162,                0.89151,                0.93109,                0.69744,                0.90632,                0.43782,                 1.2209,               0.003961,               0.003961,               0.003961
                     63,                0.70855,                0.45574,                 1.0706,                0.91404,                0.89191,                0.93077,                0.69687,                0.90552,                0.43897,                 1.2211,               0.003862,               0.003862,               0.003862
                     64,                0.69898,                0.45279,                 1.0676,                0.91611,                0.89265,                0.93075,                0.69643,                0.90568,                0.43991,                 1.2227,               0.003763,               0.003763,               0.003763
                     65,                0.69787,                0.44571,                 1.0632,                0.91636,                0.89126,                0.93006,                0.69617,                0.90633,                0.44069,                 1.2251,               0.003664,               0.003664,               0.003664
                     66,                0.69467,                0.44401,                 1.0633,                0.91334,                0.89272,                0.92993,                0.69632,                 0.9067,                0.44008,                 1.2277,               0.003565,               0.003565,               0.003565
                     67,                0.68417,                0.43728,                 1.0534,                0.91566,                0.89406,                0.93074,                0.69691,                0.90757,                0.43927,                 1.2297,               0.003466,               0.003466,               0.003466
                     68,                0.67867,                0.43393,                 1.0522,                0.91834,                0.89228,                0.93076,                0.69784,                0.90718,                0.43949,                 1.2297,               0.003367,               0.003367,               0.003367
                     69,                0.67361,                0.43024,                 1.0462,                0.91645,                0.89077,                0.93014,                0.69798,                0.90759,                0.43992,                 1.2303,               0.003268,               0.003268,               0.003268
                     70,                 0.6686,                 0.4259,                 1.0421,                0.91838,                0.89076,                0.92999,                0.69741,                0.90859,                0.43984,                 1.2318,               0.003169,               0.003169,               0.003169
                     71,                0.66495,                0.42238,                 1.0397,                0.91898,                0.89078,                0.93062,                0.69744,                0.90858,                0.44074,                 1.2318,                0.00307,                0.00307,                0.00307
                     72,                0.65492,                0.41929,                 1.0339,                0.91908,                0.89029,                0.93066,                 0.6977,                0.90957,                0.44105,                 1.2327,               0.002971,               0.002971,               0.002971
                     73,                 0.6509,                0.41386,                   1.03,                0.91929,                0.89175,                0.93076,                0.69737,                0.90949,                0.44066,                 1.2331,               0.002872,               0.002872,               0.002872
                     74,                 0.6512,                0.41501,                 1.0338,                0.91876,                0.89143,                0.93084,                0.69683,                0.90923,                 0.4411,                 1.2329,               0.002773,               0.002773,               0.002773
                     75,                0.64408,                0.41263,                 1.0316,                0.92284,                0.89105,                0.93143,                0.69713,                0.90929,                0.44135,                 1.2326,               0.002674,               0.002674,               0.002674
